@RELATION psd
@ATTRIBUTE id integer
@ATTRIBUTE text string
@ATTRIBUTE class {E,D}

@DATA
1, ' Em entrevista ao PSDTV, o Secretário-geral do PSD reforça que trabalhará para que o partido vença as eleições de 2019. Defende, assim, a organização e união do partido. Desburocratizar o processo de inscrição de novos militantes é outro dos objetivos que o movem Militante do PSD há mais de 40 anos, José Silvano é o novo Secretário-geral do partido. Assume-se como um homem de serviço público que presidiu a uma câmara do interior, mais concretamente Mirandela. Diz ser, essencialmente, um transmontano e uma pessoa do interior.Quando questionado pelo PSDTV sobre o que o levou a aceitar o desafio lançado por Rui Rio, o Secretário-geral reafirma a sua disponibilidade para com o partido. Pretende contribuir para que o PSD ganhe as próximas eleições, em 2019. Realça, contudo, que para que assim seja é determinante o contributo de todos os militantes e dirigentes e, por isso, a união em torno desse mesmo objetivo.Desburocratizar o partido (no que se refere, por exemplo, à inscrição de novos militantes) e organizá-lo para que ganhe as eleições são os próximos passos do Secretário-geral que pretende, em diálogo e concertação, simplificar processos, a fim de que seja mais fácil transmitir a mensagem do Presidente do PSD.Quanto a Rui Rio, o Secretário-geral define-o como um líder com coragem e credibilidade feita. E sublinha: não conheço melhores qualidades para que um líder possa ganhar. Afirma, assim, que o Presidente do PSD é o líder certo, no momento certo, para ganhar as eleições. E di-lo preparado para resolver as dificuldades do País, uma vez que a atual solução governativa só está a fazer o fácil: agradar a todos para ter votos.  ', 'D'
2, ' Rui Rio considera que os portugueses estão a pagar mais impostos e era obrigação do Governo de, pelo menos, não agravar a carga fiscal. Aquilo que o Governo fez foi aumentar a carga fiscal, isso é inequívoco. Os portugueses não sentem diretamente, porque não é sobre os impostos diretos, afirmou esta sexta-feira, em declarações após uma conferência na Fundação Luso-Americana para o Desenvolvimento (FLAD) em Lisboa.O nível brutal de impostos, sobretudo indiretos, que os contribuintes estão a pagar, resulta de muitos erros cometidos no passado e que o atual Governo não tem sabido corrigir.Sobre a questão da eutanásia, Rui Rio reitera que esta matéria deve ser discutida com total liberdade democrática, independentemente da posição individual de cada um. Não me passa pela cabeça que um partido liderado por mim não dê uma completa liberdade de voto aos deputados relativamente a esta matéria, sublinhou.Comentando a polémica em torno do financiamento às artes, Rui Rio exige ao Governo que cumpra com as promessas que fez. Se o PS na sua campanha eleitoral fez determinadas promessas – neste caso aos agentes culturais –, se prometeu, tem de cumprir, referiu.A desorientação que o Executivo criou com os agentes culturais leva Rui Rio a deixar a certeza de que, em política não vale tudo, pois há que saber honrar os compromissos: Reparem na minha forma de fazer oposição, muito cuidadosa. Se ganhar as eleições, a última coisa que quero é fazer diferente do que aquilo com que me comprometi (…). Se o PS não foi prudente e foi para lá daquilo que podia prometer, agora tem de arcar com as consequências, afirmou. Portugal em primeiro lugarO xadrez político alterou-se em 13 de janeiro. Isso decorre da disponibilidade do PSD, o maior partido com assento parlamentar, para colaborar na realização de reformas estruturais (na segurança social, no sistema político, na justiça, na legislação fiscal, no mercado laboral). Rui Rio, que abriu o IV Luso-American Legislators’ Dialogue, da FLAD, defende que é preciso, de uma vez por todas, pôr o interesse de Portugal acima de qualquer tática partidária circunstancial.Numa intervenção de 35 minutos, subordinada ao tema com o tema Portugal depois do ajustamento, Rui Rio traçou o retrato dos principais estrangulamentos crónicos que Portugal conhece desde a adesão ao Euro. De acordo com o líder do PSD, Portugal não soube aproveitar o momento histórico vivido durante a segunda metade década de 1990 (taxas de juro baixas, receitas das privatizações e crescimento económico, níveis de endividamento mais aceitáveis). Portugal desperdiçou uma oportunidade única, frisou.Por que é que Portugal teve de chamar a troika?, interrogava Rui Rio. Para que não se repitam os erros que levaram a essa situação, considera o líder do PSD, só há um caminho: resolver os estrangulamentos do nosso desenvolvimento.Uma década antes do resgate externo, o Estado português, as empresas e as famílias acumulavam défices na balança de pagamentos e a dívida externa atingia patamares brutais até ao momento em que, sublinhou Rui Rio, os mercados cortaram o acesso ao crédito (e estávamos a pagar aos mercados internacionais juros incomportáveis).Rui Rio critica os governos por não terem sabido cuidar da qualidade da despesa pública e orçamentos em que a despesa era sempre superior à receita. No capítulo da despesa, o líder social-democrata deixou outro apontamento: A despesa pública não é má e a despesa não-pública é sempre boa. O critério determinante é distinguir o que é boa e má despesa, independentemente da sua natureza. Porém, é aos privados, e não ao Estado, quem cabe investir. Na economia, quem tem de fazer investimento são as empresas e os empresários. O Governo de Portugal terá de fazer políticas públicas que facilitem o investimento, disse. Pequenos superavits orçamentais darão um sinal de credibilidadeAinda no plano financeiro, Rui Rio advoga a redução da dívida pública em valores absolutos e defende o objetivo de obter superavits orçamentais, "de 0,5% ou de 0,6% do PIB. Dessa forma, Portugal dará um sinal de credibilidade ao exterior: aos mercados, às instituições e aos parceiros internacionais. Excedentes mais altos, de 2 ou 3%, entende Rui Rio Rui Rio, são indesejáveis, porque existe uma prioridade superior: a redução de impostos (famílias e empresa devem, nesses contextos, pagar menos impostos).Condição para melhorar a vida dos portugueses é apostar no crescimento económico. O investimento e as exportações são o motor do crescimento, que está dependente de um outro fator: a poupança. Rui Rio quer níveis de poupança mais altos e pede uma mudança do modelo como o Estado encara a poupança: Há um certo paradigma que devemos alterar: quem poupa é rico e quem deve é pobre. Este paradigma distorce completamente a gestão da coisa pública, porque o Estado penaliza sempre, com impostos, as famílias que, apesar de parcos rendimentos, ainda conseguem aforrar.O interior e a coesão territorial, o desafio demográfico/natalidade, um novo contrato de confiança entre o povo e a política estarão, segundo o Rui Rio, na agenda das prioridades do PSD durante os próximos meses.No plano local, e enquanto ex-autarca que governou durante três mandatos a Câmara Municipal do Porto, Rui Rio defende, a par da reputação internacional do País, a reputação individual das cidades. 

 ', 'D'
3, ' No primeiro Conselho Nacional sob a sua liderança, Rui Rio destacou a necessidade de o PSD denunciar as fragilidades do Governo e construir uma alternativa credível à atual solução governativa. Apontou os incêndios, a Saúde e a entrada da SCML no Montepio como as três áreas de oposição direta ao Executivo e relembrou que em primeiro lugar está o interesse do País Rui Rio, no primeiro Conselho Nacional a que presidiu, referiu que há três áreas importantes para fazer oposição direta ao Governo. Explicou, assim, que a primeira é a questão dos incêndios, a segunda é a Saúde (que definiu como a mais frágil, neste momento) e a terceira tem que ver com o Montepio, pois, segundo defendeu, o dinheiro público da Santa Casa da Misericórdia não deve servir para cobrir as imparidades de um banco.O Presidente do PSD afirmou, perante as mais de 220 pessoas presentes, que para fazer oposição o partido deve apontar as fragilidades do Governo, alertando os portugueses para essas mesmas fragilidades. Os social-democratas devem, também, construir uma alternativa para que seja possível, então, ganhar as eleições.Mas, segundo destacou Rui Rio, para ganhar eleições é essencial a credibilidade. Se tivermos credibilidade, e apontadas as fragilidades, nós ganhamos, disse para, logo depois, explicar que credibilidade é o somatório de três fatores: seriedade, coragem e competência, requisitos essenciais para alcançar a confiança dos portugueses. Que o partido seja visto pelos portugueses como um partido de coragem, salientou.O líder do PSD começou a sua intervenção cumprimentando os eleitos no Congresso Nacional. Referiu que todos os portugueses têm a obrigação de contribuir para aquilo que é fundamental para o País. Por isso, disse-se saudavelmente amarrado ao que sempre defendeu: primeiro Portugal, depois o Partido, depois nós próprios.Alertando que Portugal carece de um conjunto de reformas estruturais que estão a estrangular o seu desenvolvimento, Rui Rio esclareceu que continua, por essa mesma razão, a defender o diálogo em prol do País. Se isso é do interesse de Portugal, Portugal está à frente, garantiu. E acrescentou que cabe ao Presidente do maior partido a obrigação de colaborar para benefício dos portugueses. Alguns problemas de raiz têm de ser agarrados por todos, destacou, depois de se ter referido à necessidade de reformar a Justiça, o Estado, o Sistema Político ou a Segurança Social, caso contrário o País estará condicionado.  VÍDEO: Pode ver aqui o discurso do Presidente do PSD na íntegra

  ', 'D'
4, ' Fernando Negrão desafiou o primeiro-ministro, no debate quinzenal, a pronunciar-se sobre a preparação da época de incêndios, assim como sobre o aumento do tempo de resposta do INEM. Alertou o Governo para a demora na resposta às famílias de militares falecidos em serviço. E acusou o ministro da Cultura de não existir politicamente O líder parlamentar do PSD, argumentando que nunca é demais voltar ao tema dos incêndios pela importância que tem para o País, disse que, com o tempo quente prestes a regressar, se constata a existência de falhas graves e deficiências enormes na preparação da época dos incêndios.Fernando Negrão referiu-se, em concreto, aos meios aéreos, para salientar que o Executivo voltou a falhar na sua contratação. Quando é que o Governo vai contratar a totalidade dos meios aéreos?, perguntou. E não esqueceu a lei orgânica da Proteção Civil que, segundo apontou, já devia estar pronta. Quando é que a vai apresentar?, questionou.Lançando como que uma crítica ao ministro da Administração Interna e ao primeiro-ministro por só falarem em prevenção, o presidente do Grupo Parlamentar do PSD (GPPSD) destacou que deve ser articulada com o combate efetivo aos incêndios. Aumento do tempo de resposta: INEM invoca razões de falta de recursos humanosA bancada social-democrata entregou, recentemente, um requerimento para ouvir com urgência o Presidente do INEM, a propósito do agravamento do tempo de resposta no atendimento das chamadas de socorro (ver mais aqui). Fernando Negrão quis, no que respeita a esta matéria, desafiar o primeiro-ministro a pronunciar-se sobre um estudo que, encomendado pelo ministro da Saúde há cerca de um ano, ainda não é do conhecimento geral. Quando é que teremos oportunidade de o conhecer?, perguntou. Aproveitou, também, para alertar que o aumento do tempo de resposta verificado em 2017, para 36 segundos acima da média de 2016, é grave. O INEM invoca razões de falta de recursos humanos, acrescentou ainda. Pensões de sangue: Governo falta constantemente aos portugueses Fernando Negrão levou, ainda, a debate a situação da família do militar português, Gil Paiva Benido, que faleceu no Mali. Destacou que, apesar de lhe terem sido prestadas homenagens, passados 9 meses a família ainda não recebeu a pensão de sangue que lhe é devida. Por isso, perguntou: qual é o ponto de situação?. E recordou, também, Roma Pereira, cuja família esteve mais de um ano à espera. Assinalou, assim, que esta situação se repete, o que significa que o Governo falta constantemente aos portugueses para, logo, defender que é muito importante sabermos se o Estado responde aos direitos e anseios dos portugueses. Artes: Politicamente, desconhecemos o paradeiro do ministro da CulturaO líder parlamentar iniciou a sua intervenção desafiando António Costa a pronunciar-se sobre o financiamento da cultura. Os agentes culturais bateram o pé, reivindicaram, criticaram, exigiram. O Governo assustou-se e aumentou a dotação inicial que tinha para os agentes culturais, disse. Ao acusar o Governo de não ter uma política para este setor, assinalou: nunca ouvimos a falar o ministro da Cultura, fisicamente está perto de si, mas politicamente desconhecemos o seu paradeiro (ver mais abaixo). "Desorientação do Governo no apoio às artesEm declarações aos jornalistas antes do debate quinzenal, Fernando Negrão acusou o Governo de desorientação na gestão do programa de apoio às artes. O presidente do Grupo Parlamentar apontou, ainda, outro erro de base: o Governo prometeu tudo aos agentes culturais e a única coisa que fez foi transformar uma secretaria de Estado num Ministério que, nestes últimos dois anos, vale muito menos do que a secretaria de Estado. O sinal mais evidente desse facto é uma contestação como nunca se viu na área da cultura.Há uma grande desorientação no Governo, uma vez que temos o secretário de Estado da Cultura a dizer que o primeiro-ministro estava a par de tudo o que se dizia e o primeiro-ministro diz que não estava a par de nada, acusou. ', 'D'
5, ' José Silvano foi esta terça-feira oficialmente eleito Secretário-geral do PSD. A votação decorreu durante o Conselho Nacional do Partido, no Porto, e obteve um total de 78% votos favoráveis. Num total de 96 possíveis, José Silvano teve 75 votos a favor, cinco nulos e 16 brancos.No primeiro Conselho Nacional da liderança de Rui Rio, o sentimento foi de "grande manifestação de unidade e apoio", tal como expressou Paulo Mota Pinto. O Presidente da Mesa do Congresso afirmou ainda que na reunião dos social-democratas se registou uma "clara unidade em torno da estratégia que tem vindo a ser prosseguida pelo Partido", tendo ocorrido um "debate muito participado".Sobre os temas em debate, Paulo Mota Pinto explicitou "a preocupação que o PSD tem revelado pela degradação do Serviço Nacional de Saúde por virtude da falta de meios financeiros. É um problema muito sentido atualmente pelos portugueses. Manifestou-se ainda alguma perplexidade pela preparação da época de incêndios, e foi ainda abordado o tema relativo à utilização de recursos financeiros significativos da Santa Casa Misericórdia de Lisboa (SCML) para recapitalizar o Montepio".  ', 'D'
6, ' Foi um debate bastante participado do qual resultou, em geral, uma manifestação de clara unidade em torno da estratégia que tem vindo a ser prosseguida pelo partido, quer em torno dos temas que têm vindo a ser escolhidos, quer da forma como têm sido abordados, disse Paulo Mota Pinto em declarações aos jornalistas após o Conselho Nacional do PSD que teve lugar, esta terça-feira, no Porto, e no qual Rui Rio avançou que incêndios, Saúde e Montepio são os temas definidos como importantes fazer oposição direta ao Governo.O presidente da mesa do Congresso explicou que de, praticamente, todas as intervenções ressaltou uma grande manifestação de apoio à estratégia do partido. Assinalando já ter assistido a muitos conselhos nacionais e que este foi o primeiro que dirigiu, referiu não ter quaisquer dúvidas em afirmar que resultou deste Conselho Nacional uma grande ideia de unidade. Tratou-se, assim, de um debate muito substancial, com muitas ideias e contributos.No primeiro Conselho Nacional sob liderança de Rui Rio estiveram presentes mais de 220 pessoas. Tal como lembrou Paulo Mota Pinto, foi eleito o novo Secretário-geral do partido (ver mais aqui) e realizou-se, também, uma análise da situação política do País. ', 'D'
7, ' Este debate mostra bem o que o PSD tem denunciado nos últimos tempos: uma campanha de propaganda tóxica que o Governo tem realizado para tentar branquear as falhas que existiram no combate aos incêndios do ano passado, acusou hoje Nuno Serra, durante o debate de preparação da próxima época de incêndios.O social-democrata afirmou ainda que esta campanha não tem deixado o Governo preparar a época de incêndios como devia de ser. O que temos hoje é um País sem meios e sem estratégia sustentável no combate aos fogos rurais.O Governo e a esquerda continuam a usar a floresta como moeda de troca política, ou como forma fácil de fazer propaganda, mas fecham os olhos ao verdadeiro problema da floresta em Portugal, que assenta na falta da promoção económica no mundo rural e na necessidade que estas atividades rurais e a floresta têm de ser devidamente valorizadas e rentabilizadas, destacou.  O PSD questionou ainda o Governo sobre o que está a ser feito para 2018, pois parece que este ano estamos ainda mais atrasados do que no ano passado, acusou Duarte Marques.Hoje, a menos de dois meses, os bombeiros e comandantes distritais ainda não sabem quantos veículos e equipas de ataque ao fogo vão ter. Também as corporações ainda não sabem o que a Autoridade Nacional de Proteção Civil quer delas, estão às escuras, porque o Governo concentra-se apenas e só na propaganda.O deputado social-democrata afirmou que quem anda no terreno a falar com os bombeiros e os militares percebe que o que está a ser executado são  fluxogramas e powerpoints, estudos e estratégias, o que resulta em haver muitos planos, mas pouco está feito.  Para quando teremos realmente todos os meios efetivamente garantidos e para quando a tão propalada lei orgânica na Proteção Civil, que nos anuncia com prazo marcado a 31 de março e já estamos em abril?, questionou Emília Cerqueira.A deputada do PSD confrontou ainda o ministro da Administração Interna com as notícias que davam conta do falhanço do Governo na contratação de meios aéreos, afirmando que de um lado temos um discurso, e do outro a realidade.Emília Cerqueira relembrou ainda que o PSD apresentou, na Assembleia da República, cinco propostas relativas a esta matéria que não foram tidas em conta.  Pedro Pimentel foi peremptório ao afirmar que à parte de todo o enredo em torno da limpeza do mato e do corte de árvores em torno das habitações, a preparação é pouca. O deputado do PSD confrontou ainda os ministros da Administração Interna e da Agricultura com perguntas às quais ainda não deram resposta.Que área já foi sujeita ao fogo controlado na presente época?, questionou Pedro Pimentel, para saber se foi maior ou menor do que em outros anos. Apesar de saber que são precisas condições muito específicas para esta prática, não nos parece razoável que se desperdicem estas oportunidades com burocracias acrescidas por parte da Administração Central. ', 'D'
8, ' O Governo não acautelou as saídas [da Polícia de Segurança Pública (PSP)], nem compensou com entradas, afirma o vice-presidente do Grupo Parlamentar do PSD (GPPSD) Carlos Peixoto. Este défice está a pôr em causa as missões da PSP que, aliás, já veio dizer que não tinha meios, nem agentes para investigar. O social-democrata alerta que esta situação pode estar a afetar a nossa segurança coletiva.O GPPSD questionou, recentemente, o ministro da Administração Interna sobre a situação do efetivo da PSP. No documento entregue na Assembleia da República os deputados destacam que de acordo com o Relatório Anual de Segurança Interna (RASI) de 2017, o saldo negativo entre entradas e saídas de polícias das forças e serviços de segurança agravou-se em 2017. E salientam: a PSP foi a força de segurança que sofreu a maior perta com a saída de 921 elementos e a entrada de apenas 305. Neste sentido, o PSD vem denunciar que a PSP dispõe, atualmente, do efetivo mais baixo de sempre. Perguntas dirigidas ao ministro da Administração Interna ', 'D'
9, 'O grupo parlamentar do PSD entregou hoje um requerimento para ouvir com urgência o Presidente do INEM a propósito do agravamento do tempo de resposta no atendimento das chamadas de socorro.Tal como se lê no requerimento, foi hoje noticiado que em 2017, os Centros de Orientação de Doentes Urgentes (CODU) do INEM demoraram, em média, 36 segundos a atender as chamadas de emergência. Este é o dobro do tempo verificado em 2016, chegando registar-se inúmeros casos de pessoas que tiveram de esperar mais de dois minutos para falarem com um operador do CODU.Adão Silva afirma que aparentemente, é pelo facto de o ministro das Finanças não autorizar o recrutamento dos funcionários necessários que estamos numa situação de atraso no atendimento das pessoas. Agora é necessário que o Governo atue rapidamente com os meios necessários para que o INEM cumpra com eficácia a sua função"."Por um segundo se ganha e por um segundo se perde uma vida, e o INEM tem a obrigação de salvaguardar a vida das pessoas", reiterou o vice-presidente do grupo parlamentar do PSD. Assim, o PSD quer esclarecer, "afinal, que recursos humanos e que recursos técnicos é que são necessários para que funcione bem o INEM".O PSD pretende ainda que o presidente do INEM dê a conhecer as conclusões de um estudo anunciado pelo ministro da Saúde em janeiro de 2017 para ver quais eram os meios necessários para que o INEM funcionasse bem" e cujas conclusões ainda não foram divulgadas.O requerimento foi dirigido ao presidente da Comissão de Saúde, e foi subscrito por Adão Silva, Ricardo Baptista Leite e Luís Vales. ', 'D'
10, ' Rui Rio recebeu na quarta-feira Cai Run, embaixador da República Popular da China em Portugal, e Claude Wiseler, presidente do Grupo Parlamentar do partido CSV luxemburguês. O presidente do PSD elogiou as relações bilaterais (comerciais e culturais) entre Portugal e a China. Claude Wiseler esteve também na sede do PSD para apresentar cumprimentos pessoais e institucionais ao presidente social-democrata. O CSV e o PSD integram a mesma família política, o Partido Popular Europeu. A comunidade portuguesa tem uma presença muito significativa no Luxemburgo.  ', 'D'
11, 'O Conselho Nacional do PSD reúne-se hoje, dia 3 de abril, pelas 21h00, no Hotel Crowne Plaza Porto, sito na Av. da Boavista, 1466.Em cima da mesa estará a eleição do secretário-geral e a análise da situação política.', 'D'
